Station_Name;Operators_Name;Connection_Type;Generation_Type;Operating_Capacity;Fuel_Name;Installed_Capacity;Max_Unit_Size;Typical_Annual_GWh;Hydro_Max_m3_Storage;Node_Name;Region_Name;Island_Name
Kawerau - TPP;Norske Skog Tasman;Grid Connected Cogen;Cogeneration;37;Gas;37;18.7 MW;271;0;KAW0112;BOP - Bay Of Plenty;NI - North Island
Tararua Stage 2;Trustpower;Embedded;Wind;36,3;Wind;36,3;0.66 MW;147;0;BPE0331;CEN - Central;NI - North Island
Kaitawa;Genesis Energy;Grid Connected;Hydro;36;Hydro;36;18 MW;91;0;TUI1101;HBY - Hawkes Bay;NI - North Island
Mahinerangi;Trustpower;Embedded;Wind;36;Wind;36;3 MW;112;0;HWB0331;OTG - Otago/Southland;SI - South Island
Cobb;Trustpower;Grid Connected;Hydro;32;Hydro;34,3;10.45 MW;190;24;COB0661;NEL - Nelson/Marlbourough;SI - South Island
Rotokawa;Mighty River Power;Embedded;Geothermal;33;Geothermal;34;16 MW;210;0;WRK0331;WTO - Waikato;NI - North Island
Tararua Stage 1;Trustpower;Embedded;Wind;31,7;Wind;31,7;0.66 MW;128;0;LTN0331;CEN - Central;NI - North Island
Patea;Trustpower;Grid Connected;Hydro;30,7;Hydro;30,7;10 MW;118;0;HWA1101;TRN - Taranaki;NI - North Island
Kinleith;Carter Holt Harvey;Grid Connected Cogen;Cogeneration;28;Wood_waste;28;28 MW;250;0;KIN0112;WTO - Waikato;NI - North Island
Kawerau - CHH;Carter Holt Harvey;Embedded;Cogeneration;27;Wood_waste;27;27 MW;118;0;KAW0111;BOP - Bay Of Plenty;NI - North Island
Highbank;Trustpower;Partially Embedded;Hydro;25,2;Hydro;25,2;25.2 MW;94;0;ASB0661;CAN - Canterbury;SI - South Island
Aniwhenua;Todd Energy;Partially Embedded;Hydro;25;Hydro;25;12.5 MW;105;0;MAT1101;BOP - Bay Of Plenty;NI - North Island
Kapuni;Bay of Plenty Energy;Grid Connected Cogen;Cogeneration;25;Gas;25;10.3 MW;130;0;KPA1101;TRN - Taranaki;NI - North Island
Kawerau - TOPP 1;Norske Skog Tasman;Embedded;Geothermal;25;Geothermal;25;25 MW;210;0;KAW0112;BOP - Bay Of Plenty;NI - North Island
Ngawha;Top Energy;Embedded;Geothermal;25;Geothermal;25;12 MW;200;0;KOE0331;NIS - North Isthmus;NI - North Island
Tekapo A;Genesis Energy;Grid Connected;Hydro;25;Hydro;25;25 MW;160;0;TKA0111;SCN - South Canterbury;SI - South Island
Wheao and Flaxy Scheme;Trustpower;Grid Connected;Hydro;24;Hydro;24;12 MW;115;0;ROT0111;BOP - Bay Of Plenty;NI - North Island
Te Huka;Contact Energy;Embedded;Geothermal;23;Geothermal;23;23 MW;190;0;WRK0331;WTO - Waikato;NI - North Island
Ruahihi;Trustpower;Embedded;Hydro;20;Hydro;20;10 MW;76;0;TGA0331;BOP - Bay Of Plenty;NI - North Island
Lloyd Mandeno;Trustpower;Embedded;Hydro;15,6;Hydro;15,6;7.8 MW;70;0;TGA0331;BOP - Bay Of Plenty;NI - North Island
Pan Pac;Pan Pac Forest Products;Embedded;Cogeneration;12,8;Wood_waste;12,8;12.8 MW;48;0;WHI0111;HBY - Hawkes Bay;NI - North Island
Teviot;Trustpower;Partially Embedded;Hydro;10,5;Hydro;10,5;6.8 MW;55;0;CYD0331;OTG - Otago/Southland;SI - South Island
Bay Milk Edgecumbe;Todd Energy;Embedded;Cogeneration;10;Gas;10;5 MW;54;0;EDG0331;BOP - Bay Of Plenty;NI - North Island
Paerau;Trustpower;Embedded;Hydro;10;Hydro;10;5 MW;48;0;NSY0331;OTG - Otago/Southland;SI - South Island
Wellington Hospital;Meridian Energy;Embedded;Cogeneration;8;Gas;10;2 MW;0;0;CPK0331;WEL - Wellington;NI - North Island
Mangahewa;Todd Energy;Embedded;Thermal;9;Gas;9;9 MW;50;0;HUI0331;TRN - Taranaki;NI - North Island
Marlborough Lines Diesel;Trustpower;Embedded;Thermal;9;Diesel;9;9 MW;0;0;BLN0331;NEL - Nelson/Marlbourough;SI - South Island
Marsden Diesel;Trustpower;Embedded;Thermal;9;Diesel;9;1.8 MW;0;0;BRB0331;NIS - North Isthmus;NI - North Island
Hau Nui;Genesis Energy;Embedded;Wind;8,45;Wind;8,45;0.6 MW;22;0;GYT0331;WEL - Wellington;NI - North Island
Kawerau - KA24;Geothermal Developments;Embedded;Geothermal;8,3;Geothermal;8,3;8.3 MW;70;0;KAW0111;BOP - Bay Of Plenty;NI - North Island
Ravensdown;Meridian Energy;Embedded;Cogeneration;8;Unknown;8;8 MW;32;0;RDF0331;HBY - Hawkes Bay;NI - North Island
Mount Stuart;Pioneer Generation;Embedded;Wind;7,65;Wind;7,65;0.85 MW;25,6;0;BAL0331;OTG - Otago/Southland;SI - South Island
Opuha;Contact Energy;Partially Embedded;Hydro;7,5;Hydro;7,5;7.5 MW;21;0;ABY0111;SCN - South Canterbury;SI - South Island
Wairau;Trustpower;Grid Connected;Hydro;7,2;Hydro;7,2;7.2 MW;31;0;ARG1101;NEL - Nelson/Marlbourough;SI - South Island
Redvale Landfill;Trustpower;Embedded;Other;7;Biogas;7;1 MW;50;0;SVL0331;NIS - North Isthmus;NI - North Island
Watercare Mangere;Mighty River Power;Embedded;Cogeneration;7;Biogas;7;7 MW;0,1;0;MNG0331;AKL - Auckland;NI - North Island
Flat Hill;Trustpower;Embedded;Wind;6,8;Wind;6,8;0.85 MW;24;0;INV0331;OTG - Otago/Southland;SI - South Island
Monowai;Trustpower;Embedded;Hydro;6,6;Hydro;6,6;2.2 MW;40;0;NMA0331;OTG - Otago/Southland;SI - South Island
Ballance Agri;Trustpower;Embedded;Cogeneration;6,5;Unknown;6,5;6.5 MW;11;0;MTM0111;BOP - Bay Of Plenty;NI - North Island
Kumara;Trustpower;Embedded;Hydro;6,5;Hydro;6,5;6.5 MW;30;0;KUM0661;WEC - West Coast;SI - South Island
Kawerau - BOP;Todd Energy;Partially Embedded;Geothermal;6,4;Geothermal;6,4;3.8 MW;35;0;KAW0111;BOP - Bay Of Plenty;NI - North Island
Amethyst;Westpower;Embedded;Hydro;6;Hydro;6;6 MW;30;0;ARA2201;WEC - West Coast;SI - South Island
Kuratau;King Country Energy;Embedded;Hydro;6;Hydro;6;3 MW;30;0;ONG0331;CEN - Central;NI - North Island
Lower Mangapapa;Trustpower;Embedded;Hydro;6;Hydro;6;6 MW;17;0;TGA0331;BOP - Bay Of Plenty;NI - North Island
Greenmount Landfill;Mighty River Power;Embedded;Other;5,5;Biogas;5,5;0.92 MW;38;0;OTA0221;AKL - Auckland;NI - North Island
Deep Stream;Trustpower;Embedded;Hydro;5;Hydro;5;2.5 MW;25;0;HWB0331;OTG - Otago/Southland;SI - South Island
Wairua Falls;Meridian Energy;Embedded;Hydro;5;Hydro;5;3 MW;22;0;MPE0331;NIS - North Isthmus;NI - North Island
Wairere Falls;King Country Energy;Embedded;Hydro;4,9;Hydro;4,9;3.3 MW;18;0;ONG0331;CEN - Central;NI - North Island
Motukawa;Trustpower;Embedded;Hydro;4,5;Hydro;4,8;1.5 MW;26;0;HUI0331;TRN - Taranaki;NI - North Island
